URL,Category,Region,Desktop Exit Button?,Mobile Exit button?,Keyboard shortcut type,Shortcut keys,Mobile shortcut?,explainer text?,Safe browsing url,Comments
https://safeline.org.uk/,Rape/SA,UK,Write+new tab,Write+new tab,Unique,esc,,,,Esc makes the page blank; doesn't change url
https://www.sailderbyshire.org.uk/,Rape/SA,UK,Redirect,,,,,,,
https://www.survive-northyorks.org.uk/,Rape/SA,UK,,,,,,,,
https://www.sarsas.org.uk/,Rape/SA,UK,Redirect,Redirect,,,,,,
https://supportafterrapeleeds.org.uk/,Rape/SA,UK,Redirect,Redirect,,,,,,
https://www.survivorsuk.org/,Rape/SA,UK,Redirect,Redirect,,,,,,
https://www.suzylamplugh.org/,Rape/SA,UK,window.location writer,,,,,,,
https://www.protectionagainststalking.org/,Rape/SA,UK,Redirect,,,,,,,
https://www.drcc.ie/,Rape/SA,Ireland,Redirect+new tab,Redirect+new tab,,,,,,
https://www.thesurvivorstrust.org/,Rape/SA,UK,Redirect,Redirect,,,,,,Exit button hidden by cookie notice
http://trusthousereading.org/,Rape/SA,UK,Redirect,Redirect,,,,,,
https://www.uava.org.uk/,Rape/SA,UK,Redirect,Redirect,,,,,,
https://malesurvivor.co.uk/about-us,Rape/SA,UK,Redirect,Redirect,,,,,,Mobile menu not present on mobile homepage -> no quick exit on homepage
https://sexualabusesupport.campaign.gov.uk/,Rape/SA,UK,,,,,,,,
https://gov.wales/live-fear-free,Rape/SA,UK,Redirect+new tab,Redirect+new tab,,,,,,
https://www.1in6.uk/,Rape/SA,UK,,,,,,,,
https://www.imkaan.org.uk/,Rape/SA,UK,Redirect,Redirect,,,,,,
https://www.supportline.org.uk/,Rape/SA,UK,,,,,,,,
http://www.newpathways.org.uk/,Rape/SA,UK,Redirect+new tab,Redirect+new tab,,,,,,
https://hertsrapecrisis.org.uk/,Rape/SA,UK,Write+new tab,Write+new tab,,,,,,
https://www.forthvalleyrapecrisis.org.uk/,Rape/SA,UK,window.location writer,window.location writer,window.location writer,esc,,,,
https://www.lincolnshirerapecrisis.org.uk/,Rape/SA,UK,Redirect,Redirect,,,,,,
https://www.rapecrisisscotland.org.uk/,Rape/SA,UK,Redirect,Redirect,window.location writer,esc,,,,
https://womenagainstrape.net/,Rape/SA,UK,,,,,,,,
https://www.rcne.com/,Rape/SA,UK,window.location writer,window.location writer,window.location writer,esc,,,,
https://www.sv2.org.uk/,Rape/SA,UK,window.location writer,Redirect,,,,,,
https://www.rasamerseyside.org/,Rape/SA,UK,Redirect,Redirect,,,,,,button is off the side of the screen on mobile
http://www.breaking-the-silence.org.uk/,Rape/SA,UK,,,,,,,,
https://blueskycentre.org.uk/,Rape/SA,UK,Redirect,Redirect,,,,,https://www.refreshyourcache.com/en/home/,
https://www.birchalltrust.org.uk/,Rape/SA,UK,Redirect,,,,,,,
https://www.beechhousesarc.org/,Rape/SA,UK,,,,,,,,Has a button but it doesn't work ;; site went down
https://www.theharbourcentre.co.uk/,Rape/SA,UK,Redirect,Redirect,,,,,,page gets blanked before closing so going back gives a blank page sometimes
https://circlessoutheast.org.uk/,Rape/SA,UK,,,,,,,,
