URL,Platform,Colour,Background Colour,Size,Location,Type,Sticky?,Visible on load?,Label,Clicks Required,Goes To URL
https://www.lgbthotline.org/,Mobile,#00FFFF,#F9E6F9,wide,bottom,banner,True,Yes,TO LEAVE PAGE:CLICK HERE FOR QUICK ESCAPE,1,https://www.google.com/
https://www.calgaryoutlink.ca/,Mobile,#FFFFFF,#212121,average,side menu,menu item,False,No,Quick Exit,2,https://calgaryherald.com/
https://mwrc.org.uk/,Mobile,#FFFFFF,#FFFFFF,wide,content,image,False,No,LEAVE WEBSITE QUICKLY,1,https://www.google.com/;https://weather.com/en-GB/weather/today/l/d9c3fa2c79668c489b8481d623991bdda4253177a2789d05a13dde82eadac46a
https://karmanirvana.org.uk/,Mobile,#C91A1A,#FFFFFF,average,bottom right,button,True,Yes,Exit site,1,https://www.google.co.uk/
https://lawadv.org.uk/,Mobile,#DD3333,#FFFFFF,average,left,button,True,Yes,QUICK EXIT,1,https://www.tesco.com/
https://www.lbwp.co.uk/,Mobile,#2F2922,#FFFFFF,average,side menu,menu item,False,No,Exit to Google,2,https://www.google.co.uk/
https://www.mwnhelpline.co.uk/,Mobile,#E02B20,#FFFFFF,wide,bottom,button,True,Cookie Notice,EMERGENCY EXIT,1,https://www.google.com/
https://www.forwarduk.org.uk/,Mobile,#FFFFFF,#541C8C,average,top,button,False,Yes,Escape website,1,https://www.google.com/search?q=recipes&oq=recipes;https://www.google.com/search?q=healthy+recipes&oq=healthy+recipes
https://amwchr.org.au/,Mobile,#29335A,#FFFFFF,average,bottom right,button,True,Yes,Safety Exit,1,https://www.google.com/;https://www.google.com/
https://djirra.org.au/,Mobile,#00B551,#272727,average,content,button,False,Yes,Quick exit,1,https://www.google.com/
https://www.emhaws.org.au/,Mobile,#6E649B,#8A649B,average,content,button,False,Yes,Quick Exit,1,https://www.google.com/
http://bwahs.com.au/,Mobile,#333333,#0E5396,wide,dropdown,menu item,False,No,Quick EXIT,2,https://www.google.com/
https://www.vacca.org/,Mobile,#D7CE61,#2B2B2B,small,top right,image,True,Yes,,1,https://www.google.com/
https://www.ywca.org/,Mobile,#FFFFFF,#303030,average,side menu,menu item,False,No,Quick Escape,2,about:blank;https://weather.com/en-GB/?Goto=Redirected
https://ujimacommunity.org/,Mobile,#FFFFFF,#FFFFFF,average,top right,button,False,Yes,ESC,1,https://www.washingtonpost.com/
https://www.atask.org/site/,Mobile,#FFFFFF,#FFFFFF,small,top right,button,False,Yes,ESCAPE,1,https://weather.com/en-GB/?Goto=Redirected
https://www.talk4healing.com/,Mobile,#95C5BB,#95C5BB,small,top right,button,False,Yes,Hide This Page,1,https://www.talk4healing.com/;https://www.google.ca/
https://yourroom.health.nsw.gov.au/,Mobile,#58CEC8,#232323,average,side menu,button,False,No,EXIT SITE,2,https://www.google.com/
http://mbaddictionhelp.ca/,Mobile,#90C7CA,#FFFFFF,wide,content,banner,False,Yes,LEAVE THIS SITE QUICKLY,1,https://www.cbc.ca/news/canada/manitoba
https://www.aidedrogue.ca/en/,Mobile,#FFFFFF,#2E67A7,text,side menu,menu item,False,No,QUICK EXIT,2,https://www.google.com/
https://aidejeu.ca/en/,Mobile,#FFFFFF,#87BB30,text,side menu,menu item,False,No,QUICK EXIT,2,https://www.google.com/
https://frg.org.uk/,Mobile,#7166AD,#FFFFFF,small,right,button,True,Yes,EXIT,1,https://www.bbc.co.uk/news
https://www.sands.org.uk/,Mobile,#F18D08,#FFFFFF,wide,bottom,banner,True,Cookie Notice,EXIT SITE,1,https://www.bbc.co.uk/news;https://www.bbc.co.uk/news
https://www.msichoices.org.uk/,Mobile,#F2CD3A,#283473,wide,top,banner,True,Yes,EXIT SITE,1,http://313tpfk.beta-host.co.uk/?current=1662571286450;https://www.google.co.uk/
https://www.mariestopes.ie/,Mobile,#F2CD3A,#FFFFFF,wide,top,banner,True,Yes,HIDE PAGE,1,https://www.google.com/
https://midwestaccesscoalition.org/,Mobile,#FAFFF2,#FAFFF2,average,bottom left,button,True,Yes,Quick Exit,1,https://www.google.com/search?q=funny+owls&tbm=isch;https://www.google.com/search?q=cute+animals&tbm=isch
https://www.plancpills.org/,Mobile,#FF5E6B,#FFFFFF,average,top right,image,True,Yes,,1,https://www.google.com/;https://weather.com/en-GB/?Goto=Redirected
https://reprolegaldefensefund.org/,Mobile,#E02020,#FFFFFF,average,top left,button,False,Yes,Quick Exit (ESC),1,https://duckduckgo.com/
https://dupontclinic.com/,Mobile,#CCCC33,#FFFFFF,wide,top,banner,True,Yes,quick exit,1,https://www.google.com/search?q=pretty+orchids&tbm=isch&ved=2ahUKEwjc-oTfoJvuAhXbPCsKHdARDigQ2-cCegQIABAA&oq=pretty+orchids&gs_lcp=CgNpbWcQAzICCABQ8YEBWPGBAWCOigFoAHAAeACAAd0BiAHdAZIBAzItMZgBAKABAaoBC2d3cy13aXotaW1nwAEB&sclient=img&ei=VSIAYJz8Dtv5rAHQo7jAAg;https://www.google.com/search?q=cute%20animals&tbm=isch
https://abortiononourownterms.org/,Mobile,#FFFFFF,#FFFFFF,wide,top,banner,True,Yes,QUICK EXIT,1,https://www.google.com/;https://weather.com/en-GB/?Goto=Redirected
https://www.reprolegalhelpline.org/,Mobile,#E02020,#FFFFFF,average,top left,button,True,Yes,Quick Exit (ESC),1,https://duckduckgo.com/
https://arfwm.org/,Mobile,#EF0834,#FFFFFF,average,top right,button,True,Yes,Quick exit,1,https://weather.com/en-GB/?Goto=Redirected
https://www.abortionfundofaz.org/,Mobile,#9A3C09,#F1BC78,average,top,button,False,Yes,QUICK EXIT,1,https://www.google.com/search?q=home+decor&rlz=1CABMGD_enUS871US871&oq=home+decor&aqs=chrome..69i57j0l4j69i61j69i60l2.9000j0j4&sourceid=chrome&ie=UTF-8
https://accessrj.org/,Mobile,#E76F51,#5F0F40,average,bottom right,button,True,Yes,Safety Exit,1,https://www.google.com/;https://www.google.com/
https://www.chicagoabortionfund.org/,Mobile,#F7B033,#FFFFFF,average,bottom right,button,True,Yes,EXIT,1,https://eu.usatoday.com/
https://www.ourjustice.net/,Mobile,#741A56,#FFFFFF,wide,top,banner,False,Yes,Quickly leave this page.,1,https://www.washingtonpost.com/
https://www.susanwicklundfund.org/,Mobile,#642886,#FFFFFF,average,bottom left,button,True,Yes,Safety Exit,1,https://www.google.com/;https://www.google.com/
https://www.wildwestfund.org/,Mobile,#3AC2D0,#FFFFFF,average,bottom right,button,True,Yes,Safety Exit,1,https://www.google.com/;https://www.google.com/
https://www.neabortionresources.org/,Mobile,#000000,#FFFFFF,text,side menu,menu item,False,No,QUICK EXIT,2,https://www.google.com/
https://mountainaccessbrigade.org/,Mobile,#CB6015,#44769A,average,top right,button,False,Yes,SAFE EXIT,1,https://weather.com/weather/today/l/USTN0268:1:US
https://www.vermontaccess.org/,Mobile,#FFC0CB,#EAEAEE,wide,bottom right,button,True,Yes,LEAVE THIS SITE NOW,1,https://www.google.com/search?source=hp&ei=KvhxX77oIqCuytMPnvSayAI&q=weather&oq=weater&gs_lcp=CgZwc3ktYWIQARgAMgkIABAKEEYQgAIyBAgAEAoyCgguEMcBEKMCEAoyBAgAEAoyBAgAEAoyBAgAEAoyBAgAEAoyBAgAEAoyBQgAEJIDMgUIABCSAzoICAAQsQMQgwE6CwguELEDEMcBEKMCOgUIABCxAzoFCC4QsQM6AggAOggILhDHARCjAjoICC4QxwEQrwFQjQRYpwdg1BZoAHAAeACAAUqIAZsDkgEBNpgBAKABAaoBB2d3cy13aXo&sclient=psy-ab;https://weather.com/en-GB/?Goto=Redirected
https://blueridgeabortionfund.org/,Mobile,#8AD2D1,#FFFFFF,average,bottom left,button,True,Yes,Quick Exit,1,https://www.google.com/;https://www.google.com/
https://www.actioncanadashr.org/,Mobile,#E26F54,#FFFFFF,average,side menu,menu item,False,No,Get Out Quickly,2,https://m.youtube.com/
https://ppt.on.ca/,Mobile,Transparent,#FFFFFF,average,top right,button,True,Yes,escape,1,https://www.google.com/
https://pafsa.org/,Mobile,#DD3333,#FFFFFF,average,bottom left,button,True,Yes,Exit,1,https://www.google.com/;https://www.google.com/
https://www.childline.org.uk/,Mobile,#275B6D,#FFFFFF,average,top right,button,True,Yes,HIDE PAGE,1,https://www.google.com/
https://coramvoice.org.uk/,Mobile,NO BUTTON
https://www.meiccymru.org/,Mobile,#984192,#FFFFFF,average,bottom,button,True,Yes,Hide Page,1,https://www.google.co.uk/
https://cafs.org.au/,Mobile,#00974A,#FFFFFF,average,right,button,True,Yes,QUICK EXIT,1,https://www.google.com.au/;https://www.google.com.au/
https://panda.org.au/,Mobile,#FF6A39,#FFFFFF,long,bottom right,button,True,Yes,QUICK EXIT SITE,1,https://www.google.com/
https://www.stopitnow.org/,Mobile,#5770F1,#FFFFFF,text,side menu,menu item,False,No,Quick Exit,2,https://www.google.com/
http://www.goodsamaritaninn.org.au/,Mobile,#FFFFFF,#CC0066,average,top left,button,False,Yes,Exit site,1,https://www.google.com/
https://juno.org.au/,Mobile,#00609C,#9AD7D8,average,top right,button,False,Yes,QUICK EXIT,1,https://www.google.com/
https://www.mcauley.org.au/,Mobile,#91CA88,#F6F5F4,average,top right,image,False,Yes,,1,https://www.google.com.au/
https://www.wayss.org.au/,Mobile,#FF0606,#FFFFFF,wide,top,banner,True,Yes,CLICK TO EXIT THIS WEBSITE NOW,1,https://www.google.com.au/
https://askizzy.org.au/,Mobile,#B30000,#FFFFFF,average,top right,button,True,Yes,Quick Exit,1,http://www.bom.gov.au/
https://www.ruah.org.au/,Mobile,#425563,#FFFFFF,wide,bottom,banner,True,Yes,Quick Exit,1,https://www.google.com.au/;https://www.weatherzone.com.au/
https://www.1800runaway.org/,Mobile,#FFFFFF,#3EB03B,small,top right,image,True,Yes,,1,https://www.google.com/
https://acws.ca/,Mobile,#D06B37,#FFFFFF,wide,bottom,banner,True,Yes,Quick Exit,1,https://www.google.com/search?q=weather
https://endvaw.ca/,Mobile,#CBDE73,#FFFFFF,average,top right,button,False,Yes,HIDE THIS SITE,1,https://www.google.ca/search?q=weather
http://thanl.org/,Mobile,#FF795F,#EFEDE9,average,top,button,False,Yes,Hide This Site,1,https://www.theweathernetwork.com/
https://thans.ca/,Mobile,#FF0000,#FFFFFF,wide,top,banner,True,Yes,CLICK TO EXIT NOW,1,https://www.google.com/
https://bcsth.ca/,Mobile,#E71515,#F8F4F1,average,bottom right,button,True,Yes,EXIT NOW,1,https://www.google.com/
https://saskatoonintervalhouse.org/,Mobile,#000000,#FFFFFF,text,side menu,menu item,False,No,Hide your tracks,2,https://www.google.com/
https://www.womenstransitionhome.ca/,Mobile,#6BA0B3,#E8E8E8,text,top,text,False,Yes,Safe exit,1,https://www.theweathernetwork.com/
https://www.nellies.org/,Mobile,#9486A0,#FFFFFF,small,top right,button,True,Yes,ESCAPE,1,https://www.google.com/
https://www.unitysexualhealth.co.uk/,Mobile,#FCC343,#FFFFFF,small,right,image,True,Yes,EXIT,1,https://www.google.com/
https://www.safesexberkshire.nhs.uk/,Mobile,#5A5C61,#FFFFFF,average,bottom right,button,True,Cookie Notice,Hide,1,https://www.google.com/
